station_name,site_name,bag_number,latitude,longitude,elevation,team,hawk_num,battery_num,geophone_num,date,time,sheets,pictures,stay/go
MM00,site 0,bag 0,50.63626,-123.40807,470,JHMM,3342036,3857993,11493,07-Jul,8:58,yes,no,go
MM01,site 01,bag 34,50.60462,-123.41161,902,JM,3344940,3857970,30822,09-Jul,9:44,yes,no,go
MM02,site 02,bag 25,50.64072,-123.51139,2548,JM,3344046,3857804,15480,08-Jul,18:00,yes,no,go
MM03,site 03,bag 22,50.62653,-123.46885,1910,JM,3346214,3854358,17012,08-Jul,16:24,yes,no,stay
MM04,site 04,bag 01,50.58922,-123.46811,1127,JM,3342496,3858013,25892,08-Jul,11:31,yes,no,stay
MM05,site 07,bag 10,50.64132,-123.5547,1978,MH,3342304,3857841,29369,08-Jul,11:45,yes,no,go
MM06,site 09,bag 55,50.6236,-123.48434,2081,HMM,3345840,3858018,16043,11-Jul,?,yes,yes,stay
MM07,site 10,bag 48,50.67776,-123.47342,671,HMM,3341846,3857955,M3808-148,09-Jul,14:04,yes,yes,stay
MM08,site 15,bag 21,50.59293,-123.49815,1761,MH,3348624,3860030,31187,08-Jul,18:05,yes,no,go
MM09,site 16,bag 16,50.5868,-123.55324,1600,JM,3342552,3854289,11760,08-Jul,10:43,yes,no,go
MM10,site 17,bag 07,50.637,-123.48003,1489,MH,3342282,3857837,21406,08-Jul,16:40,yes,no,go
MM11,site 18,bag 19,50.64925,-123.47657,1274,MH,3343908,3858073,19764,08-Jul,13:43,yes,no,MO
MM12,site 19,bag 20,50.60435,-123.4879,1875,JM,3351428,3858002,14989,08-Jul,17:05,yes,no,go
MM13,site 20,bag 05,50.55408,-123.5088,1275,JM,3351376,3854389,29902,07-Jul,14:44,yes,no,go
MM14,site 21,bag 26,50.62062,-123.3905,404,JM,3342080,3857991,M3808-3999,08-Jul,8:24,yes,no,stay
MM15,site 23,bag 58,50.62427,-123.53842,2326,HMM,3344110,3858014,14134,12-Jul,11:15,yes,yes,go
MM16,site 24,bag 17,50.63279,-123.56402,2299,JM,3359052,3860024,19744,08-Jul,12:17,yes,no,go
MM17,site 25,bag 46,50.68472,-123.45925,995,HMM,3347948,3857946,M3808-859,09-Jul,14:48,yes,yes,stay
MM18,site 26,bag 13,50.64873,-123.5298,1837,MH,3346238,3854259,13412,08-Jul,13:00,yes,no,go
MM19,site 29,bag 24,50.57404,-123.40156,1873,JM,3344926,3860437,28288,09-Jul,7:00,yes,no,go
MM20,site 30,bag 32,50.6149,-123.51068,1896,MH,3346502,3860172,30828,09-Jul,9:22,yes,no,go
MM21,site 31,bag 08,50.57425,-123.51279,1075,MH,3352598,3858125,25826,07-Jul,16:00,yes,no,stay
MM22,site 32,bag 28,50.64381,-123.42794,457,HMM,3345830,3857789,3810-107,09-Jul,16:13,yes,yes,stay
MM23,site 34,bag 27,50.62841,-123.40408,434,JM,3345904,3857848,18152,08-Jul,8:00,yes,no,stay
MM24,site 35,bag 31,50.63169,-123.51539,2210,MH,3345160,3854286,M3808-077,08-Jul,18:56,yes,no,go
MM25,site 37,bag 47,50.67159,-123.45297,975,HMM,3348072,3858115,M3808-859,09-Jul,15:19,yes,yes,stay
MM26,site 39,bag 43,50.61806,-123.57202,2320,MH,3357734,3860212,29622,09-Jul,8:30,yes,no,go
MM27,site 40,bag 39,50.61248,-123.38276,397,HMM,3345162,3858189,20185,09-Jul,17:20,yes,yes,stay
MM28,site 41,bag 23,50.62561,-123.47639,2019,JM,3354294,3858213,M3808-078,08-Jul,16:42,yes,no,stay
MM29,site 42,bag 44,50.63884,-123.4142,458,HMM,3359126,3857744,26022,09-Jul,16:36,yes,yes,stay
MM30,site 43,bag 12,50.54525,-123.54939,1430,MH,3344058,3860039,22591,07-Jul,15:05,yes,no,go
MM31,site 46,bag 49,50.65802,-123.44321,530,HMM,3342032,3857938,30924,09-Jul,15:52,yes,no,stay
MM32,site 47,bag 06,50.56797,-123.44536,1100,JM,334474,3857945,22759,07-Jul,13:50,yes,no,go
MM33,site 49,bag 04,50.57565,-123.56944,940,JM,3345292,3857990,25466,07-Jul,16:04,yes,no,MO
MM34,site 50,bag 15,50.59634,-123.57192,1511,MH,3343498,3858207,23516,08-Jul,11:02,yes,no,go
MM35,site 52,bag 02,50.63783,-123.52672,1943,JM,3344918,3857824,19745,08-Jul,12:53,yes,no,go
MM36,site 53,bag 38,50.6459,-123.54264,1478,JM,3358366,3857842,30824,09-Jul,8:36,yes,no,go
MM37,site 55,bag 57,50.61205,-123.53722,1851,HMM,3351744,3854365,12064,11-Jul,?,yes,yes,go
MM38,site 56,bag 41,50.62365,-123.4253,1018,JM,3335400,3857944,M3808-899,09-Jul,7:20,yes,no,MO
MM39,site 57,bag 09,50.60485,-123.44855,971,MH,3345446,3860428,29389,08-Jul,11:36,yes,no,stay
MM40,site 58,bag 11,50.5621,-123.46964,760,MH,3341824,3857974,11150,07-Jul,14:02,yes,no,stay
MM41,site 60,bag 18,50.66012,-123.50732,1536,JM,3342266,3857768,29306,08-Jul,13:36,yes,no,MO
MM42,site 61,bag 03,50.68544,-123.52715,728,JM,3342744,3860010,29016,08-Jul,13:16,yes,no,MO
MM43,site 62,bag 30,50.68297,-123.51312,740,JM,3361156,3858015,19977,08-Jul,18:20,yes,no,stay
MM44,site 63,bag 40,50.56822,-123.53552,860,MH,3359298,3854386,29757,09-Jul,8:00,yes,no,stay
MM45,site 64,bag 37,50.57728,-123.48107,1003,MH,3360706,3854266,29545,09-Jul,7:30,yes,no,MO
MM46,site 65,bag 35,50.58015,-123.42284,1717,MH,3358818,3858133,30743,09-Jul,7:00,yes,no,go
MM47,site 66,bag 14,50.61831,-123.54012,2022,HMM,3348272,3860195,23535,11-Jul,?,yes,yes,go
MM48,site 67,bag 42,50.56578,-123.48325,718,JM,3349630,3858130,M3808-899,09-Jul,7:45,yes,no,MO
MM49,site 70,bag 33,50.58718,-123.38298,875,MH,3349408,3860439,29722,09-Jul,10:00,yes,yes,go
MM50,site 80,bag 52,50.60378,-123.36972,393,HMM,3345390,3854385,3810-049,10-Jul,9:15,yes,yes,stay
MM51,site 81,bag 50,50.60088,-123.35293,347,HMM,3348288,3857830,27839,10-Jul,9:46,yes,yes,stay
MM52,site 82,bag 54,50.54021,-123.48535,763,HMM,3354904,3857773,3810-072,10-Jul,12:45,yes,yes,stay
MM53,site 83,bag 51,50.55171,-123.47782,730,HMM,3358994,3854279,M3808-2539,10-Jul,13:03,yes,yes,stay
MM54,site 84,bag 45,50.57605,-123.45898,584,HMM,3346650,3857973,19613,10-Jul,13:48,yes,yes,stay
MM55,site 85,bag 53,50.5841,-123.34467,460,HMM,3348966,3858018,16043,10-Jul,15:09,yes,yes,go
MM56,site 86,bag 29,50.5789,-123.32178,374,HMM,3345072,3857865,30058,10-Jul,15:35,yes,yes,go
MM57,site 90,bag 56,50.58395,-123.53534,1755,HMM,3346896,3858117,12036,12-Jul,11:30,yes,yes,go
MM58,site 91,bag 36,50.64865,-123.03358,1207,HMM,3347428,3858003,29752,12-Jul,16:00,yes,yes,go
